Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
3/22/1979,84.38,61.14,153.89,69.04,64.17,103.8,16.34,#N/A,84.38,#N/A,75.35,6.6,87.92,46.87,#N/A,#N/A,33.8,61.14,#N/A,84.38,12.11,#N/A,64.17,46.22
3/23/1979,84.26,61.08,153.45,68.81,63.95,103.48,16.25,#N/A,84.26,#N/A,74.96,6.57,87.45,46.62,#N/A,#N/A,33.62,61.08,#N/A,84.26,12.05,#N/A,63.95,45.99
3/26/1979,85.22,61.61,155.11,69.04,64.51,103.98,16.27,#N/A,85.22,#N/A,75.71,6.67,88.35,47.21,#N/A,#N/A,33.67,61.61,#N/A,85.22,12.14,#N/A,64.51,46.36
3/27/1979,84.9,61.5,157.11,68.79,65.12,105.06,16.4,#N/A,84.9,#N/A,76.33,6.73,89.07,47.6,#N/A,#N/A,33.94,61.5,#N/A,84.9,12.31,#N/A,65.12,46.86
3/28/1979,84.92,61.49,156.13,68.94,64.18,103.85,16.26,#N/A,84.92,#N/A,75.67,6.67,88.3,47.19,#N/A,#N/A,33.65,61.49,#N/A,84.92,12.19,#N/A,64.18,46.48
3/29/1979,83.91,60.85,155.05,67.92,63.59,103.33,16.07,#N/A,83.91,#N/A,74.8,6.59,87.29,46.65,#N/A,#N/A,33.26,60.85,#N/A,83.91,12.04,#N/A,63.59,45.99
3/30/1979,83.43,60.41,154.86,67.19,62.92,102.76,15.86,#N/A,83.43,#N/A,73.8,6.51,86.12,46.02,#N/A,#N/A,33.55,60.41,#N/A,83.43,11.95,#N/A,62.92,45.73
4/2/1979,83.29,60.6,156.62,67.02,62.8,103.52,15.93,#N/A,83.29,#N/A,74.84,6.56,87.3,46.38,#N/A,#N/A,33.59,60.6,#N/A,83.29,12,#N/A,62.8,45.87
4/3/1979,83.39,60.7,157.74,67.16,62.91,103.47,15.88,#N/A,83.39,#N/A,74.86,6.56,87.33,46.39,#N/A,#N/A,33.6,60.7,#N/A,83.39,11.99,#N/A,62.91,45.95
4/4/1979,83.3,60.6,158.58,67.05,62.66,103.53,15.87,#N/A,83.3,#N/A,74.8,6.55,87.25,46.35,#N/A,#N/A,33.57,60.6,#N/A,83.3,11.97,#N/A,62.66,45.98
4/5/1979,83.62,60.85,159.72,67.06,62.65,104.19,15.86,#N/A,83.62,#N/A,74.74,6.55,87.19,46.32,#N/A,#N/A,33.54,60.85,#N/A,83.62,11.98,#N/A,62.65,46.11
4/6/1979,83.3,60.6,158.6,66.43,62.4,103.72,15.72,#N/A,83.3,#N/A,74.1,6.49,86.44,45.92,#N/A,#N/A,33.25,60.6,#N/A,83.3,12.02,#N/A,62.4,46.05
